Location,Time,Temp,Humidity,Pressure,WindSpeed,Latitude,Longitude,WeatherId,Main,Description
Miami,1721273402,301.88,83,1018,5.14,25.78330,-80.25980,801,Clouds,few clouds
Salvador,1721273136,297.84,78,1020,4.75,-12.97770,-38.50160,803,Clouds,broken clouds
Sydney,1721273214,290.85,48,1011,7.20,-33.87080,151.20700,800,Clear,clear sky
Shibuya,1721273380,305.74,59,1010,2.57,35.68900,139.69290,803,Clouds,broken clouds
London,1721272876,286.64,90,1021,1.33,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721276506,301.39,81,1018,5.66,25.78220,-80.26060,802,Clouds,scattered clouds
Salvador,1721277003,296.84,75,1019,3.80,-12.97770,-38.50160,803,Clouds,broken clouds
Sydney,1721276537,291.02,46,1010,7.20,-33.87080,151.20700,800,Clear,clear sky
Shibuya,1721276323,306.54,56,1010,3.09,35.68900,139.69290,803,Clouds,broken clouds
London,1721276446,286.31,91,1021,1.22,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721280602,301.24,84,1017,4.12,25.78330,-80.25980,802,Clouds,scattered clouds
Salvador,1721280603,297.84,76,1019,3.91,-12.97770,-38.50160,803,Clouds,broken clouds
Sydney,1721280194,290.48,46,1010,6.69,-33.86800,151.21001,800,Clear,clear sky
Shibuya,1721280188,307.15,55,1010,4.12,35.68900,139.69290,803,Clouds,broken clouds
London,1721280472,287.20,92,1021,0.83,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721283726,301.37,85,1017,5.14,25.78220,-80.26060,801,Clouds,few clouds
Salvador,1721284201,297.84,72,1019,6.40,-12.97770,-38.50160,804,Clouds,overcast clouds
Sydney,1721283652,289.50,47,1011,6.17,-33.86980,151.20830,800,Clear,clear sky
Shibuya,1721283820,306.49,58,1009,4.63,35.68900,139.69290,803,Clouds,broken clouds
London,1721283712,288.26,89,1021,1.03,51.50730,-0.12760,803,Clouds,broken clouds
Miami,1721287310,301.68,86,1016,3.09,25.78220,-80.26060,801,Clouds,few clouds
Salvador,1721287681,297.84,72,1019,6.40,-12.97770,-38.50160,804,Clouds,overcast clouds
Sydney,1721287725,287.18,54,1012,7.20,-33.86800,151.21001,800,Clear,clear sky
Shibuya,1721287620,305.42,65,1009,6.17,35.68900,139.69290,803,Clouds,broken clouds
London,1721287619,290.28,83,1021,1.03,51.50730,-0.12760,804,Clouds,overcast clouds
